accuracy,macro_f1,weighted_f1,test_load,seed,model,condition,n_test,train_time_s,complexity
1.0,1.0,1.0,0,301,mean_da,clean_reextract,792,7.247807100007776,10822
0.9116161616161617,0.9076333307480863,0.9076333307480863,0,301,mean_da,vibration_missing,792,7.247807100007776,10822
0.928030303030303,0.9256757347439392,0.9256757347439392,0,301,mean_da,electrical_missing,792,7.247807100007776,10822
1.0,1.0,1.0,0,301,mean_da,vibration_gain_075,792,7.247807100007776,10822
1.0,1.0,1.0,0,301,mean_da,vibration_gain_050,792,7.247807100007776,10822
0.9974747474747475,0.9974746025368767,0.9974746025368766,0,301,mean_da,vibration_gain_025,792,7.247807100007776,10822
0.9974747474747475,0.9974746025368765,0.9974746025368766,0,301,mean_da,electrical_gain_075,792,7.247807100007776,10822
0.9949494949494949,0.9949483352468427,0.9949483352468428,0,301,mean_da,electrical_gain_050,792,7.247807100007776,10822
0.9936868686868687,0.9936660037758319,0.993666003775832,0,301,mean_da,electrical_gain_025,792,7.247807100007776,10822
1.0,1.0,1.0,0,301,mean_da,vibration_drift_025rms,792,7.247807100007776,10822
1.0,1.0,1.0,0,301,mean_da,vibration_drift_050rms,792,7.247807100007776,10822
1.0,1.0,1.0,0,301,mean_da,vibration_drift_100rms,792,7.247807100007776,10822
0.9987373737373737,0.9987373556209197,0.9987373556209197,0,301,mean_da,electrical_drift_025rms,792,7.247807100007776,10822
0.9987373737373737,0.9987373556209197,0.9987373556209197,0,301,mean_da,electrical_drift_050rms,792,7.247807100007776,10822
0.6452020202020202,0.5330258428886593,0.5330258428886593,0,301,mean_da,electrical_drift_100rms,792,7.247807100007776,10822
0.9974747474747475,0.9974698737337365,0.9974698737337367,0,301,gate_da,clean_reextract,792,8.516345000010915,27400
0.9166666666666666,0.9144448136270982,0.9144448136270982,0,301,gate_da,vibration_missing,792,8.516345000010915,27400
0.9406565656565656,0.940276190739497,0.940276190739497,0,301,gate_da,electrical_missing,792,8.516345000010915,27400
0.9987373737373737,0.9987373556209197,0.9987373556209197,0,301,gate_da,vibration_gain_075,792,8.516345000010915,27400
0.9974747474747475,0.9974747112418395,0.9974747112418395,0,301,gate_da,vibration_gain_050,792,8.516345000010915,27400
0.9924242424242424,0.9923940603953064,0.9923940603953064,0,301,gate_da,vibration_gain_025,792,8.516345000010915,27400
0.9356060606060606,0.9350733885571384,0.9350733885571382,0,301,gate_da,electrical_gain_075,792,8.516345000010915,27400
0.9356060606060606,0.9350733885571384,0.9350733885571382,0,301,gate_da,electrical_gain_050,792,8.516345000010915,27400
0.9356060606060606,0.9350733885571384,0.9350733885571382,0,301,gate_da,electrical_gain_025,792,8.516345000010915,27400
0.9974747474747475,0.9974698737337365,0.9974698737337367,0,301,gate_da,vibration_drift_025rms,792,8.516345000010915,27400
0.9974747474747475,0.9974698737337365,0.9974698737337367,0,301,gate_da,vibration_drift_050rms,792,8.516345000010915,27400
0.9911616161616161,0.991127806464419,0.9911278064644192,0,301,gate_da,vibration_drift_100rms,792,8.516345000010915,27400
0.9987373737373737,0.9987373556209197,0.9987373556209197,0,301,gate_da,electrical_drift_025rms,792,8.516345000010915,27400
0.9962121212121212,0.9962168137823532,0.996216813782353,0,301,gate_da,electrical_drift_050rms,792,8.516345000010915,27400
0.7916666666666666,0.7686637978334226,0.7686637978334228,0,301,gate_da,electrical_drift_100rms,792,8.516345000010915,27400
1.0,1.0,1.0,0,301,rcarf_hard,clean_reextract,792,11.025174799957313,35657
0.9078282828282829,0.9047996946079427,0.9047996946079427,0,301,rcarf_hard,vibration_missing,792,11.025174799957313,35657
0.9583333333333334,0.9579330734021069,0.9579330734021068,0,301,rcarf_hard,electrical_missing,792,11.025174799957313,35657
