model,reliability_mae,switch_mae
dprf_no_switch_loss,0.09648813846808227,0.4333889263206058
dprf_no_semantic,0.09795502889068303,0.1588733892970615
dprf_full,0.0991038153581485,0.1595670871105459
dprf_no_rel_loss,0.32844647802445404,0.16133180045419268
