model,class_name,mean_recall,min_recall
dprf_full,BB,0.9917027417027416,0.3181818181818182
dprf_full,BR,0.993524531024531,0.696969696969697
dprf_full,N,0.9856782106782107,0.4772727272727273
dprf_full,RB3,0.9969696969696971,0.8484848484848485
dprf_full,RB5,0.9844516594516595,0.2196969696969697
dprf_full,SW,0.9860930735930736,0.5
dprf_no_rel_loss,BB,0.9863816738816739,0.17424242424242425
dprf_no_rel_loss,BR,0.9861291486291487,0.5
dprf_no_rel_loss,N,0.9846320346320346,0.553030303030303
dprf_no_rel_loss,RB3,0.9944444444444445,0.6363636363636364
dprf_no_rel_loss,RB5,0.9737554112554113,0.12878787878787878
dprf_no_rel_loss,SW,0.9691558441558442,0.03787878787878788
dprf_no_semantic,BB,0.9902958152958153,0.2803030303030303
dprf_no_semantic,BR,0.9837662337662337,0.26515151515151514
dprf_no_semantic,N,0.9724386724386724,0.030303030303030304
dprf_no_semantic,RB3,0.9973845598845599,0.8484848484848485
dprf_no_semantic,RB5,0.9944444444444445,0.7727272727272727
dprf_no_semantic,SW,0.9864898989898989,0.4696969696969697
dprf_no_switch_loss,BB,0.9913419913419914,0.08333333333333333
dprf_no_switch_loss,BR,0.9908189033189033,0.3939393939393939
dprf_no_switch_loss,N,0.9823232323232323,0.4090909090909091
dprf_no_switch_loss,RB3,0.9970238095238095,0.7878787878787878
dprf_no_switch_loss,RB5,0.9826118326118326,0.16666666666666666
dprf_no_switch_loss,SW,0.9810606060606061,0.6136363636363636
gate_da,BB,0.990079365079365,0.4393939393939394
gate_da,BR,0.9792388167388169,0.22727272727272727
gate_da,N,0.9736471861471861,0.09090909090909091
gate_da,RB3,0.9982683982683982,0.8106060606060606
gate_da,RB5,0.9647005772005772,0.09848484848484848
gate_da,SW,0.9695526695526695,0.4015151515151515
mean_da,BB,0.9880952380952381,0.19696969696969696
mean_da,BR,0.9388708513708514,0.0
mean_da,N,0.9186327561327561,0.0
mean_da,RB3,0.9964826839826839,0.7045454545454546
mean_da,RB5,0.9757395382395383,0.06818181818181818
mean_da,SW,0.9780844155844156,0.5454545454545454
rcarf_hard,BB,0.9934884559884559,0.696969696969697
rcarf_hard,BR,0.9838383838383837,0.26515151515151514
rcarf_hard,N,0.9763347763347764,0.5227272727272727
rcarf_hard,RB3,0.9966991341991343,0.8636363636363636
rcarf_hard,RB5,0.9903860028860029,0.8181818181818182
rcarf_hard,SW,0.973502886002886,0.6287878787878788
