test_load,seed,model,condition,quality_target_vibration,quality_target_electrical,switch_target,semantic_vibration_mean,semantic_electrical_mean,calibrated_vibration_mean,calibrated_electrical_mean,switch_mean,reliability_vibration_mean,reliability_electrical_mean
0,301,gate_da,clean_reextract,1.0,1.0,0.0,0.5149188041687012,0.4850812256336212,,,,,
0,301,gate_da,vibration_missing,0.0,1.0,1.0,0.0010588340228423476,0.9989411234855652,,,,,
0,301,gate_da,electrical_missing,1.0,0.0,1.0,0.9320820569992065,0.06791796535253525,,,,,
0,301,gate_da,vibration_gain_075,0.75,1.0,0.25,0.4587520360946655,0.5412479639053345,,,,,
0,301,gate_da,vibration_gain_050,0.5,1.0,0.5,0.4364900290966034,0.5635099411010742,,,,,
0,301,gate_da,vibration_gain_025,0.25,1.0,0.75,0.4468510150909424,0.5531489849090576,,,,,
0,301,gate_da,electrical_gain_075,1.0,0.75,0.25,0.9983633160591125,0.0016367359785363078,,,,,
0,301,gate_da,electrical_gain_050,1.0,0.5,0.5,1.0,2.791983484684568e-11,,,,,
0,301,gate_da,electrical_gain_025,1.0,0.25,0.75,1.0,1.4494847173986152e-18,,,,,
0,301,gate_da,vibration_drift_025rms,0.75,1.0,0.25,0.5147154331207275,0.48528456687927246,,,,,
0,301,gate_da,vibration_drift_050rms,0.5,1.0,0.5,0.5137963891029358,0.4862035810947418,,,,,
0,301,gate_da,vibration_drift_100rms,0.0,1.0,1.0,0.5119649767875671,0.48803505301475525,,,,,
0,301,gate_da,electrical_drift_025rms,1.0,0.75,0.25,0.5484940409660339,0.45150595903396606,,,,,
0,301,gate_da,electrical_drift_050rms,1.0,0.5,0.5,0.6044602990150452,0.39553967118263245,,,,,
0,301,gate_da,electrical_drift_100rms,1.0,0.0,1.0,0.4575444757938385,0.5424555540084839,,,,,
0,301,rcarf_hard,clean_reextract,1.0,1.0,0.0,,,0.0005278958124108613,0.9994720220565796,0.23839285969734192,,
0,301,rcarf_hard,vibration_missing,0.0,1.0,1.0,,,4.690890636993572e-05,0.9999531507492065,0.999814510345459,,
0,301,rcarf_hard,electrical_missing,1.0,0.0,1.0,,,0.9996132850646973,0.00038669194327667356,0.9987900853157043,,
0,301,rcarf_hard,vibration_gain_075,0.75,1.0,0.25,,,0.0002882011467590928,0.9997118711471558,0.41977351903915405,,
0,301,rcarf_hard,vibration_gain_050,0.5,1.0,0.5,,,0.00039218421443365514,0.9996079206466675,0.7283551692962646,,
0,301,rcarf_hard,vibration_gain_025,0.25,1.0,0.75,,,0.0006203686934895813,0.9993796944618225,0.8700568675994873,,
0,301,rcarf_hard,electrical_gain_075,1.0,0.75,0.25,,,1.0,4.296813284950657e-13,0.9999942779541016,,
0,301,rcarf_hard,electrical_gain_050,1.0,0.5,0.5,,,1.0,8.318748918409389e-38,1.0,,
0,301,rcarf_hard,electrical_gain_025,1.0,0.25,0.75,,,1.0,0.0,1.0,,
0,301,rcarf_hard,vibration_drift_025rms,0.75,1.0,0.25,,,0.0005187780479900539,0.999481201171875,0.23922887444496155,,
0,301,rcarf_hard,vibration_drift_050rms,0.5,1.0,0.5,,,0.000501562375575304,0.9994984865188599,0.24526436626911163,,
0,301,rcarf_hard,vibration_drift_100rms,0.0,1.0,1.0,,,0.0004584623675327748,0.9995415210723877,0.26439613103866577,,
0,301,rcarf_hard,electrical_drift_025rms,1.0,0.75,0.25,,,0.010203620418906212,0.9897963404655457,0.2902241051197052,,
0,301,rcarf_hard,electrical_drift_050rms,1.0,0.5,0.5,,,0.9997918605804443,0.00020812793809454888,0.9991681575775146,,
0,301,rcarf_hard,electrical_drift_100rms,1.0,0.0,1.0,,,1.0,5.412515318454606e-41,1.0,,
0,301,dprf_no_rel_loss,clean_reextract,1.0,1.0,0.0,0.8391541242599487,0.16084590554237366,0.8393509387969971,0.1606491357088089,0.10629991441965103,0.9997519850730896,0.9802191257476807
0,301,dprf_no_rel_loss,vibration_missing,0.0,1.0,1.0,0.11506672203540802,0.8849332332611084,0.00019629186135716736,0.9998037219047546,0.9999392628669739,0.0011166571639478207,0.9997048377990723
0,301,dprf_no_rel_loss,electrical_missing,1.0,0.0,1.0,0.950137197971344,0.049862757325172424,0.9533904194831848,0.0466095507144928,0.998041570186615,0.9999895095825195,0.7921320796012878
0,301,dprf_no_rel_loss,vibration_gain_075,0.75,1.0,0.25,0.7576772570610046,0.24232272803783417,0.75743567943573,0.24256430566310883,0.1629340797662735,0.9969335794448853,0.9929463267326355
0,301,dprf_no_rel_loss,vibration_gain_050,0.5,1.0,0.5,0.7243950366973877,0.2756049633026123,0.7243835926055908,0.27561643719673157,0.2936251759529114,0.9988951086997986,0.9979979991912842
0,301,dprf_no_rel_loss,vibration_gain_025,0.25,1.0,0.75,0.7490257620811462,0.250974178314209,0.7490371465682983,0.2509627342224121,0.3983573019504547,0.9999773502349854,0.9996092915534973
0,301,dprf_no_rel_loss,electrical_gain_075,1.0,0.75,0.25,0.9098163843154907,0.09018360823392868,0.9101713299751282,0.08982859551906586,0.3208123743534088,0.9999364018440247,0.9897240400314331
0,301,dprf_no_rel_loss,electrical_gain_050,1.0,0.5,0.5,0.9698370695114136,0.030162883922457695,0.9698541164398193,0.030145883560180664,0.4789773225784302,0.9999932050704956,0.9974796772003174
0,301,dprf_no_rel_loss,electrical_gain_025,1.0,0.25,0.75,0.9902622103691101,0.0097378334030509,0.9902624487876892,0.009737584739923477,0.5228917002677917,0.9999947547912598,0.9996824860572815
