model,all_degraded_macro_f1,clean_macro_f1,worst_condition_mean
dprf_full,0.9894948100570412,0.9993271695176771,0.9491470607441441
dprf_no_switch_loss,0.9871139226352665,0.9991583094755868,0.9470332827200122
dprf_no_semantic,0.9870396173230063,0.9995376464887517,0.923846538863959
rcarf_hard,0.9853607130148262,0.9993274346138257,0.9532814432341753
dprf_no_rel_loss,0.9816470010359547,0.999327465149492,0.8758509999015288
gate_da,0.9785401985491937,0.9977647395889017,0.8712925063780362
mean_da,0.9608219031110807,0.9994537404589363,0.5624803745394138
