comparison,dprf_mean,comparator_mean,mean_difference,ci95_low,ci95_high,cohens_dz,wins,ties,losses,wilcoxon_p_raw,wilcoxon_p_holm
dprf_full vs gate_da,0.9894948100570412,0.9785401985491938,0.010954611507847415,0.006577537683945293,0.015323675425349218,1.8565915690919255,6,0,0,0.03125,0.1875
dprf_full vs mean_da,0.9894948100570412,0.9608219031110807,0.028672906945960436,0.025691392933754036,0.03204451707257483,6.543500145298317,6,0,0,0.03125,0.1875
dprf_full vs rcarf_hard,0.9894948100570412,0.9853607130148262,0.004134097042215105,-0.001374989656571975,0.013762786804320045,0.36061579283333695,2,0,4,1.0,1.0
dprf_full vs dprf_no_rel_loss,0.9894948100570412,0.9816470010359547,0.007847809021086468,0.005413109110759169,0.010254985285360249,2.2967738485889604,6,0,0,0.03125,0.1875
dprf_full vs dprf_no_switch_loss,0.9894948100570412,0.9871139226352666,0.002380887421774632,-0.0005168651433516783,0.006388481426105486,0.47828121215095293,4,0,2,0.4375,0.875
dprf_full vs dprf_no_semantic,0.9894948100570412,0.9870396173230063,0.002455192734034939,0.00021380589494903365,0.004673481652819074,0.782263504832914,4,0,2,0.15625,0.46875
