test_load,model,macro_f1
0,dprf_full,0.9790484905615301
0,dprf_no_rel_loss,0.9751804119629534
0,dprf_no_semantic,0.9808599343004685
0,dprf_no_switch_loss,0.967223861259556
0,gate_da,0.9586051895474696
0,mean_da,0.955166603203211
0,rcarf_hard,0.9517358826568073
111,dprf_full,0.9930870229868967
111,dprf_no_rel_loss,0.9896449001545656
111,dprf_no_semantic,0.989097231627257
111,dprf_no_switch_loss,0.9922518221262652
111,gate_da,0.9859718286142071
111,mean_da,0.9672874839319446
111,rcarf_hard,0.990885439512704
222,dprf_full,0.9949172327747186
222,dprf_no_rel_loss,0.9859881068733488
222,dprf_no_semantic,0.99206743940098
222,dprf_no_switch_loss,0.9954688815444306
222,gate_da,0.992140058401976
222,mean_da,0.9665634823853667
222,rcarf_hard,0.99536064672386
333,dprf_full,0.987821572458694
333,dprf_no_rel_loss,0.9787273046810031
333,dprf_no_semantic,0.9847665590427764
333,dprf_no_switch_loss,0.9895513691005874
333,gate_da,0.9756981079963069
333,mean_da,0.9615991084139269
333,rcarf_hard,0.9885751772306423
444,dprf_full,0.9930280349887353
444,dprf_no_rel_loss,0.9811373217082787
444,dprf_no_semantic,0.9933556731777831
444,dprf_no_switch_loss,0.9928726916410601
444,gate_da,0.981654544313898
444,mean_da,0.9605965885539289
444,rcarf_hard,0.9957592822120499
555,dprf_full,0.9890665065716726
555,dprf_no_rel_loss,0.9792039608355787
555,dprf_no_semantic,0.9820908663887725
555,dprf_no_switch_loss,0.9853149101397002
555,gate_da,0.977171462421305
555,mean_da,0.9537181521781063
555,rcarf_hard,0.989847849752893
