accuracy,macro_f1,weighted_f1,test_load,seed,model,condition,fit_time_s
0.9974747474747475,0.9974746025368765,0.9974746025368766,0,301,lr,clean_reextract,0.14515789994038641
0.8825757575757576,0.8770994263577993,0.8770994263577993,0,301,lr,vibration_missing,0.14515789994038641
0.8813131313131313,0.87360204768397,0.8736020476839701,0,301,lr,electrical_missing,0.14515789994038641
0.9987373737373737,0.9987373556209197,0.9987373556209197,0,301,lr,vibration_gain_075,0.14515789994038641
0.9987373737373737,0.9987373556209197,0.9987373556209198,0,301,lr,vibration_gain_050,0.14515789994038641
0.9671717171717171,0.9673070967061994,0.9673070967061992,0,301,lr,vibration_gain_025,0.14515789994038641
0.9987373737373737,0.9987373556209197,0.9987373556209197,0,301,lr,electrical_gain_075,0.14515789994038641
0.9974747474747475,0.9974746025368765,0.9974746025368766,0,301,lr,electrical_gain_050,0.14515789994038641
0.922979797979798,0.9227499396300588,0.9227499396300588,0,301,lr,electrical_gain_025,0.14515789994038641
0.9974747474747475,0.9974746025368765,0.9974746025368766,0,301,lr,vibration_drift_025rms,0.14515789994038641
0.9974747474747475,0.9974746025368765,0.9974746025368766,0,301,lr,vibration_drift_050rms,0.14515789994038641
0.9974747474747475,0.9974746025368765,0.9974746025368766,0,301,lr,vibration_drift_100rms,0.14515789994038641
0.9987373737373737,0.9987373556209197,0.9987373556209197,0,301,lr,electrical_drift_025rms,0.14515789994038641
0.9974747474747475,0.9974794400449793,0.9974794400449793,0,301,lr,electrical_drift_050rms,0.14515789994038641
0.7058080808080808,0.6255380649946972,0.6255380649946972,0,301,lr,electrical_drift_100rms,0.14515789994038641
0.9974747474747475,0.9974746025368765,0.9974746025368766,0,301,svm_rbf,clean_reextract,0.9535043999785557
0.8472222222222222,0.8366811460492191,0.836681146049219,0,301,svm_rbf,vibration_missing,0.9535043999785557
0.8737373737373737,0.8656447857567899,0.8656447857567899,0,301,svm_rbf,electrical_missing,0.9535043999785557
0.9974747474747475,0.9974746025368765,0.9974746025368766,0,301,svm_rbf,vibration_gain_075,0.9535043999785557
0.9962121212121212,0.9962120120985166,0.9962120120985165,0,301,svm_rbf,vibration_gain_050,0.9535043999785557
0.9873737373737373,0.98739771756061,0.98739771756061,0,301,svm_rbf,vibration_gain_025,0.9535043999785557
0.16666666666666666,0.047619047619047616,0.04761904761904762,0,301,svm_rbf,electrical_gain_075,0.9535043999785557
0.9974747474747475,0.9974794400449795,0.9974794400449793,0,301,svm_rbf,electrical_gain_050,0.9535043999785557
0.16666666666666666,0.047619047619047616,0.04761904761904762,0,301,svm_rbf,electrical_gain_025,0.9535043999785557
0.9974747474747475,0.9974746025368765,0.9974746025368766,0,301,svm_rbf,vibration_drift_025rms,0.9535043999785557
0.9974747474747475,0.9974746025368765,0.9974746025368766,0,301,svm_rbf,vibration_drift_050rms,0.9535043999785557
0.9962121212121212,0.9962116320117095,0.9962116320117095,0,301,svm_rbf,vibration_drift_100rms,0.9535043999785557
0.9936868686868687,0.993684603350031,0.993684603350031,0,301,svm_rbf,electrical_drift_025rms,0.9535043999785557
0.9962121212121212,0.9962116320117095,0.9962116320117095,0,301,svm_rbf,electrical_drift_050rms,0.9535043999785557
0.7159090909090909,0.6863659817006673,0.6863659817006674,0,301,svm_rbf,electrical_drift_100rms,0.9535043999785557
0.9949494949494949,0.9949587730166188,0.994958773016619,0,301,knn,clean_reextract,0.002064900007098913
0.5441919191919192,0.5223813380769698,0.5223813380769698,0,301,knn,vibration_missing,0.002064900007098913
0.8686868686868687,0.8654699178954396,0.8654699178954394,0,301,knn,electrical_missing,0.002064900007098913
0.9835858585858586,0.983613435587185,0.9836134355871848,0,301,knn,vibration_gain_075,0.002064900007098913
0.9772727272727273,0.9773189718482453,0.9773189718482451,0,301,knn,vibration_gain_050,0.002064900007098913
0.9431818181818182,0.9439382569447772,0.9439382569447773,0,301,knn,vibration_gain_025,0.002064900007098913
0.49242424242424243,0.42677185632925335,0.42677185632925335,0,301,knn,electrical_gain_075,0.002064900007098913
0.9583333333333334,0.9575529835960434,0.9575529835960432,0,301,knn,electrical_gain_050,0.002064900007098913
0.6085858585858586,0.5260177270324472,0.5260177270324471,0,301,knn,electrical_gain_025,0.002064900007098913
0.9924242424242424,0.9924286648668095,0.9924286648668097,0,301,knn,vibration_drift_025rms,0.002064900007098913
0.9924242424242424,0.9924286648668095,0.9924286648668097,0,301,knn,vibration_drift_050rms,0.002064900007098913
0.9886363636363636,0.9886305970938561,0.9886305970938563,0,301,knn,vibration_drift_100rms,0.002064900007098913
0.98989898989899,0.9899230253221245,0.9899230253221247,0,301,knn,electrical_drift_025rms,0.002064900007098913
0.9848484848484849,0.9848540808666489,0.9848540808666489,0,301,knn,electrical_drift_050rms,0.002064900007098913
0.8686868686868687,0.8635770278146085,0.8635770278146085,0,301,knn,electrical_drift_100rms,0.002064900007098913
0.8181818181818182,0.8041305478532409,0.804130547853241,0,301,gnb,clean_reextract,0.003294799942523241
0.28914141414141414,0.14639094575883452,0.14639094575883452,0,301,gnb,vibration_missing,0.003294799942523241
0.7878787878787878,0.7710602410433643,0.7710602410433645,0,301,gnb,electrical_missing,0.003294799942523241
0.8181818181818182,0.8036803975156385,0.8036803975156385,0,301,gnb,vibration_gain_075,0.003294799942523241
0.7727272727272727,0.7614921922682211,0.7614921922682211,0,301,gnb,vibration_gain_050,0.003294799942523241
0.5656565656565656,0.5099141058327014,0.5099141058327014,0,301,gnb,vibration_gain_025,0.003294799942523241
0.8143939393939394,0.7999621875688043,0.7999621875688043,0,301,gnb,electrical_gain_075,0.003294799942523241
