test_load,seed,model,condition,n_test,accuracy,macro_f1,weighted_f1,train_time_s,parameters
0,301,mlp,clean_reextract,792,1.0,1.0,1.0,7.950131699995836,10758
0,301,mlp,vibration_missing,792,0.36742424242424243,0.24298243439195147,0.24298243439195144,7.950131699995836,10758
0,301,mlp,electrical_missing,792,0.8762626262626263,0.8729092338182868,0.8729092338182868,7.950131699995836,10758
0,301,mlp,vibration_gain_075,792,1.0,1.0,1.0,7.950131699995836,10758
0,301,mlp,vibration_gain_050,792,0.9924242424242424,0.9924219589709505,0.9924219589709505,7.950131699995836,10758
0,301,mlp,vibration_gain_025,792,0.8068181818181818,0.7802477994761761,0.7802477994761761,7.950131699995836,10758
0,301,mlp,electrical_gain_075,792,0.17297979797979798,0.06032374804381846,0.060323748043818466,7.950131699995836,10758
0,301,mlp,electrical_gain_050,792,0.16666666666666666,0.047619047619047616,0.04761904761904762,7.950131699995836,10758
0,301,mlp,electrical_gain_025,792,0.16666666666666666,0.047619047619047616,0.04761904761904762,7.950131699995836,10758
0,301,mlp,vibration_drift_025rms,792,1.0,1.0,1.0,7.950131699995836,10758
0,301,mlp,vibration_drift_050rms,792,1.0,1.0,1.0,7.950131699995836,10758
0,301,mlp,vibration_drift_100rms,792,1.0,1.0,1.0,7.950131699995836,10758
0,301,mlp,electrical_drift_025rms,792,0.9936868686868687,0.993684603350031,0.993684603350031,7.950131699995836,10758
0,301,mlp,electrical_drift_050rms,792,0.9848484848484849,0.9848171152518979,0.9848171152518977,7.950131699995836,10758
0,301,mlp,electrical_drift_100rms,792,0.9633838383838383,0.9632456922526641,0.963245692252664,7.950131699995836,10758
0,301,resnet,clean_reextract,792,1.0,1.0,1.0,14.095271399972262,56838
0,301,resnet,vibration_missing,792,0.5568181818181818,0.48415989274176985,0.4841598927417698,14.095271399972262,56838
0,301,resnet,electrical_missing,792,0.9116161616161617,0.911566504981931,0.911566504981931,14.095271399972262,56838
0,301,resnet,vibration_gain_075,792,0.9974747474747475,0.9974746025368767,0.9974746025368766,14.095271399972262,56838
0,301,resnet,vibration_gain_050,792,0.9608585858585859,0.9616930268916014,0.9616930268916014,14.095271399972262,56838
0,301,resnet,vibration_gain_025,792,0.7828282828282829,0.7720917110567102,0.7720917110567102,14.095271399972262,56838
0,301,resnet,electrical_gain_075,792,0.3333333333333333,0.16982456140350877,0.16982456140350877,14.095271399972262,56838
0,301,resnet,electrical_gain_050,792,0.3106060606060606,0.1611627035355849,0.16116270353558487,14.095271399972262,56838
0,301,resnet,electrical_gain_025,792,0.1856060606060606,0.0746167358671351,0.0746167358671351,14.095271399972262,56838
0,301,resnet,vibration_drift_025rms,792,1.0,1.0,1.0,14.095271399972262,56838
0,301,resnet,vibration_drift_050rms,792,1.0,1.0,1.0,14.095271399972262,56838
0,301,resnet,vibration_drift_100rms,792,1.0,1.0,1.0,14.095271399972262,56838
0,301,resnet,electrical_drift_025rms,792,1.0,1.0,1.0,14.095271399972262,56838
0,301,resnet,electrical_drift_050rms,792,0.9974747474747475,0.9974746025368765,0.9974746025368766,14.095271399972262,56838
0,301,resnet,electrical_drift_100rms,792,0.7702020202020202,0.7475710000596916,0.7475710000596916,14.095271399972262,56838
0,301,ft_transformer,clean_reextract,792,1.0,1.0,1.0,33.06180399999721,929670
0,301,ft_transformer,vibration_missing,792,0.34974747474747475,0.21153907110519543,0.21153907110519543,33.06180399999721,929670
0,301,ft_transformer,electrical_missing,792,0.7159090909090909,0.6840128955126774,0.6840128955126776,33.06180399999721,929670
0,301,ft_transformer,vibration_gain_075,792,1.0,1.0,1.0,33.06180399999721,929670
0,301,ft_transformer,vibration_gain_050,792,0.8484848484848485,0.8452966992497114,0.8452966992497113,33.06180399999721,929670
0,301,ft_transformer,vibration_gain_025,792,0.494949494949495,0.3687679437545705,0.36876794375457045,33.06180399999721,929670
0,301,ft_transformer,electrical_gain_075,792,0.19444444444444445,0.08898148203739616,0.08898148203739616,33.06180399999721,929670
0,301,ft_transformer,electrical_gain_050,792,0.16666666666666666,0.047619047619047616,0.04761904761904762,33.06180399999721,929670
0,301,ft_transformer,electrical_gain_025,792,0.16666666666666666,0.047619047619047616,0.04761904761904762,33.06180399999721,929670
0,301,ft_transformer,vibration_drift_025rms,792,1.0,1.0,1.0,33.06180399999721,929670
0,301,ft_transformer,vibration_drift_050rms,792,1.0,1.0,1.0,33.06180399999721,929670
0,301,ft_transformer,vibration_drift_100rms,792,1.0,1.0,1.0,33.06180399999721,929670
0,301,ft_transformer,electrical_drift_025rms,792,1.0,1.0,1.0,33.06180399999721,929670
0,301,ft_transformer,electrical_drift_050rms,792,1.0,1.0,1.0,33.06180399999721,929670
0,301,ft_transformer,electrical_drift_100rms,792,0.9924242424242424,0.9924188226657152,0.9924188226657151,33.06180399999721,929670
0,301,tabm,clean_reextract,792,1.0,1.0,1.0,11.349183800019091,806080
0,301,tabm,vibration_missing,792,0.5707070707070707,0.5155872643837095,0.5155872643837096,11.349183800019091,806080
0,301,tabm,electrical_missing,792,0.8914141414141414,0.8893342159074665,0.8893342159074664,11.349183800019091,806080
0,301,tabm,vibration_gain_075,792,1.0,1.0,1.0,11.349183800019091,806080
0,301,tabm,vibration_gain_050,792,0.9835858585858586,0.9835459605620839,0.9835459605620838,11.349183800019091,806080
0,301,tabm,vibration_gain_025,792,0.8194444444444444,0.805075016752178,0.8050750167521781,11.349183800019091,806080
0,301,tabm,electrical_gain_075,792,0.49242424242424243,0.3350890702748435,0.3350890702748435,11.349183800019091,806080
0,301,tabm,electrical_gain_050,792,0.22474747474747475,0.14787832631416534,0.14787832631416534,11.349183800019091,806080
0,301,tabm,electrical_gain_025,792,0.16666666666666666,0.047619047619047616,0.04761904761904762,11.349183800019091,806080
0,301,tabm,vibration_drift_025rms,792,1.0,1.0,1.0,11.349183800019091,806080
0,301,tabm,vibration_drift_050rms,792,1.0,1.0,1.0,11.349183800019091,806080
0,301,tabm,vibration_drift_100rms,792,1.0,1.0,1.0,11.349183800019091,806080
0,301,tabm,electrical_drift_025rms,792,1.0,1.0,1.0,11.349183800019091,806080
0,301,tabm,electrical_drift_050rms,792,1.0,1.0,1.0,11.349183800019091,806080
0,301,tabm,electrical_drift_100rms,792,0.7133838383838383,0.6639999059592986,0.6639999059592986,11.349183800019091,806080
0,301,tmc,clean_reextract,792,0.9027777777777778,0.8986449434675273,0.8986449434675273,22.137813499983167,15372
0,301,tmc,vibration_missing,792,0.8345959595959596,0.8295471787045713,0.8295471787045712,22.137813499983167,15372
0,301,tmc,electrical_missing,792,0.8358585858585859,0.8233384641135904,0.8233384641135905,22.137813499983167,15372
0,301,tmc,vibration_gain_075,792,0.9040404040404041,0.8989813038827479,0.8989813038827481,22.137813499983167,15372
0,301,tmc,vibration_gain_050,792,0.8497474747474747,0.8507046936279862,0.8507046936279863,22.137813499983167,15372
0,301,tmc,vibration_gain_025,792,0.7083333333333334,0.707299519867972,0.7072995198679719,22.137813499983167,15372
0,301,tmc,electrical_gain_075,792,0.3813131313131313,0.318793377307262,0.3187933773072619,22.137813499983167,15372
0,301,tmc,electrical_gain_050,792,0.3661616161616162,0.3068119832169618,0.3068119832169618,22.137813499983167,15372
0,301,tmc,electrical_gain_025,792,0.3611111111111111,0.3026026075150087,0.3026026075150088,22.137813499983167,15372
0,301,tmc,vibration_drift_025rms,792,0.9002525252525253,0.895944492318211,0.895944492318211,22.137813499983167,15372
0,301,tmc,vibration_drift_050rms,792,0.8914141414141414,0.8853563033492473,0.8853563033492472,22.137813499983167,15372
0,301,tmc,vibration_drift_100rms,792,0.8699494949494949,0.8606315556831801,0.8606315556831801,22.137813499983167,15372
0,301,tmc,electrical_drift_025rms,792,0.8573232323232324,0.84383957826253,0.84383957826253,22.137813499983167,15372
0,301,tmc,electrical_drift_050rms,792,0.51010101010101,0.4613104644676909,0.461310464467691,22.137813499983167,15372
0,301,tmc,electrical_drift_100rms,792,0.3560606060606061,0.2167930137495355,0.21679301374953547,22.137813499983167,15372
0,302,mlp,clean_reextract,792,1.0,1.0,1.0,6.532494199986104,10758
0,302,mlp,vibration_missing,792,0.4494949494949495,0.40060592167607223,0.40060592167607223,6.532494199986104,10758
0,302,mlp,electrical_missing,792,0.8952020202020202,0.893651735255597,0.8936517352555969,6.532494199986104,10758
0,302,mlp,vibration_gain_075,792,0.9987373737373737,0.9987373556209196,0.9987373556209198,6.532494199986104,10758
0,302,mlp,vibration_gain_050,792,0.9545454545454546,0.9541460911491376,0.9541460911491374,6.532494199986104,10758
0,302,mlp,vibration_gain_025,792,0.773989898989899,0.7438419303139003,0.7438419303139004,6.532494199986104,10758
0,302,mlp,electrical_gain_075,792,0.22474747474747475,0.12919442975497972,0.12919442975497974,6.532494199986104,10758
0,302,mlp,electrical_gain_050,792,0.16666666666666666,0.047619047619047616,0.04761904761904762,6.532494199986104,10758
0,302,mlp,electrical_gain_025,792,0.16666666666666666,0.047619047619047616,0.04761904761904762,6.532494199986104,10758
0,302,mlp,vibration_drift_025rms,792,1.0,1.0,1.0,6.532494199986104,10758
0,302,mlp,vibration_drift_050rms,792,1.0,1.0,1.0,6.532494199986104,10758
0,302,mlp,vibration_drift_100rms,792,1.0,1.0,1.0,6.532494199986104,10758
0,302,mlp,electrical_drift_025rms,792,0.9987373737373737,0.9987373556209197,0.9987373556209197,6.532494199986104,10758
0,302,mlp,electrical_drift_050rms,792,0.9962121212121212,0.9962116320117095,0.9962116320117095,6.532494199986104,10758
0,302,mlp,electrical_drift_100rms,792,0.9709595959595959,0.9708478863344427,0.9708478863344426,6.532494199986104,10758
0,302,resnet,clean_reextract,792,1.0,1.0,1.0,13.490585999999894,56838
0,302,resnet,vibration_missing,792,0.5921717171717171,0.5695514386089089,0.5695514386089088,13.490585999999894,56838
0,302,resnet,electrical_missing,792,0.9356060606060606,0.9357536059029553,0.9357536059029554,13.490585999999894,56838
0,302,resnet,vibration_gain_075,792,0.9974747474747475,0.9974746025368767,0.9974746025368766,13.490585999999894,56838
0,302,resnet,vibration_gain_050,792,0.9621212121212122,0.9617921078309166,0.9617921078309165,13.490585999999894,56838
0,302,resnet,vibration_gain_025,792,0.7929292929292929,0.7694496571389521,0.7694496571389522,13.490585999999894,56838
0,302,resnet,electrical_gain_075,792,0.1994949494949495,0.10865240391171031,0.10865240391171031,13.490585999999894,56838
0,302,resnet,electrical_gain_050,792,0.16666666666666666,0.047619047619047616,0.04761904761904762,13.490585999999894,56838
0,302,resnet,electrical_gain_025,792,0.16666666666666666,0.047619047619047616,0.04761904761904762,13.490585999999894,56838
0,302,resnet,vibration_drift_025rms,792,1.0,1.0,1.0,13.490585999999894,56838
0,302,resnet,vibration_drift_050rms,792,1.0,1.0,1.0,13.490585999999894,56838
0,302,resnet,vibration_drift_100rms,792,1.0,1.0,1.0,13.490585999999894,56838
0,302,resnet,electrical_drift_025rms,792,1.0,1.0,1.0,13.490585999999894,56838
0,302,resnet,electrical_drift_050rms,792,1.0,1.0,1.0,13.490585999999894,56838
0,302,resnet,electrical_drift_100rms,792,0.9242424242424242,0.9235258142952154,0.9235258142952155,13.490585999999894,56838
0,302,ft_transformer,clean_reextract,792,1.0,1.0,1.0,32.62461539998185,929670
0,302,ft_transformer,vibration_missing,792,0.3939393939393939,0.3058663925536991,0.3058663925536991,32.62461539998185,929670
0,302,ft_transformer,electrical_missing,792,0.7702020202020202,0.751200027124951,0.751200027124951,32.62461539998185,929670
0,302,ft_transformer,vibration_gain_075,792,1.0,1.0,1.0,32.62461539998185,929670
0,302,ft_transformer,vibration_gain_050,792,0.7487373737373737,0.7197732964633109,0.7197732964633111,32.62461539998185,929670
0,302,ft_transformer,vibration_gain_025,792,0.51010101010101,0.40780710274409926,0.40780710274409926,32.62461539998185,929670
0,302,ft_transformer,electrical_gain_075,792,0.1691919191919192,0.05513784461152882,0.05513784461152882,32.62461539998185,929670
0,302,ft_transformer,electrical_gain_050,792,0.16666666666666666,0.047619047619047616,0.04761904761904762,32.62461539998185,929670
0,302,ft_transformer,electrical_gain_025,792,0.16666666666666666,0.047619047619047616,0.04761904761904762,32.62461539998185,929670
0,302,ft_transformer,vibration_drift_025rms,792,1.0,1.0,1.0,32.62461539998185,929670
0,302,ft_transformer,vibration_drift_050rms,792,1.0,1.0,1.0,32.62461539998185,929670
0,302,ft_transformer,vibration_drift_100rms,792,1.0,1.0,1.0,32.62461539998185,929670
0,302,ft_transformer,electrical_drift_025rms,792,1.0,1.0,1.0,32.62461539998185,929670
0,302,ft_transformer,electrical_drift_050rms,792,0.9987373737373737,0.9987373556209197,0.9987373556209197,32.62461539998185,929670
0,302,ft_transformer,electrical_drift_100rms,792,0.9747474747474747,0.9746543778801843,0.9746543778801844,32.62461539998185,929670
0,302,tabm,clean_reextract,792,1.0,1.0,1.0,10.754430500004673,806080
0,302,tabm,vibration_missing,792,0.5593434343434344,0.4950274654213512,0.4950274654213511,10.754430500004673,806080
0,302,tabm,electrical_missing,792,0.8636363636363636,0.8592965345244759,0.8592965345244759,10.754430500004673,806080
0,302,tabm,vibration_gain_075,792,1.0,1.0,1.0,10.754430500004673,806080
0,302,tabm,vibration_gain_050,792,0.98989898989899,0.9898897058823529,0.9898897058823529,10.754430500004673,806080
0,302,tabm,vibration_gain_025,792,0.8143939393939394,0.800511045646963,0.8005110456469628,10.754430500004673,806080
0,302,tabm,electrical_gain_075,792,0.3333333333333333,0.17307146201254098,0.17307146201254095,10.754430500004673,806080
0,302,tabm,electrical_gain_050,792,0.3333333333333333,0.16668819148478198,0.16668819148478195,10.754430500004673,806080
0,302,tabm,electrical_gain_025,792,0.3333333333333333,0.16829904375543323,0.16829904375543323,10.754430500004673,806080
0,302,tabm,vibration_drift_025rms,792,1.0,1.0,1.0,10.754430500004673,806080
0,302,tabm,vibration_drift_050rms,792,1.0,1.0,1.0,10.754430500004673,806080
0,302,tabm,vibration_drift_100rms,792,1.0,1.0,1.0,10.754430500004673,806080
0,302,tabm,electrical_drift_025rms,792,1.0,1.0,1.0,10.754430500004673,806080
0,302,tabm,electrical_drift_050rms,792,1.0,1.0,1.0,10.754430500004673,806080
0,302,tabm,electrical_drift_100rms,792,0.5,0.4027869728504166,0.4027869728504166,10.754430500004673,806080
0,302,tmc,clean_reextract,792,0.9179292929292929,0.9154822953531624,0.9154822953531624,21.54852340000798,15372
0,302,tmc,vibration_missing,792,0.8964646464646465,0.8937907806037054,0.8937907806037055,21.54852340000798,15372
0,302,tmc,electrical_missing,792,0.8383838383838383,0.825380117573142,0.8253801175731419,21.54852340000798,15372
0,302,tmc,vibration_gain_075,792,0.9040404040404041,0.8987754972953863,0.8987754972953863,21.54852340000798,15372
0,302,tmc,vibration_gain_050,792,0.8598484848484849,0.8594653026070055,0.8594653026070057,21.54852340000798,15372
0,302,tmc,vibration_gain_025,792,0.7070707070707071,0.7074836433621777,0.7074836433621777,21.54852340000798,15372
0,302,tmc,electrical_gain_075,792,0.3888888888888889,0.3248196523999612,0.32481965239996125,21.54852340000798,15372
0,302,tmc,electrical_gain_050,792,0.3787878787878788,0.31714571714571715,0.31714571714571715,21.54852340000798,15372
0,302,tmc,electrical_gain_025,792,0.37247474747474746,0.3121965398426761,0.3121965398426761,21.54852340000798,15372
0,302,tmc,vibration_drift_025rms,792,0.9128787878787878,0.9100313775585208,0.9100313775585208,21.54852340000798,15372
0,302,tmc,vibration_drift_050rms,792,0.9027777777777778,0.8988969080833872,0.8988969080833872,21.54852340000798,15372
0,302,tmc,vibration_drift_100rms,792,0.8813131313131313,0.8746664236391467,0.8746664236391466,21.54852340000798,15372
0,302,tmc,electrical_drift_025rms,792,0.8699494949494949,0.8602502260445469,0.8602502260445472,21.54852340000798,15372
0,302,tmc,electrical_drift_050rms,792,0.5656565656565656,0.527362758968167,0.527362758968167,21.54852340000798,15372
0,302,tmc,electrical_drift_100rms,792,0.36237373737373735,0.2497161413875313,0.24971614138753126,21.54852340000798,15372
0,303,mlp,clean_reextract,792,1.0,1.0,1.0,6.536131600005319,10758
0,303,mlp,vibration_missing,792,0.5265151515151515,0.45533777259765656,0.45533777259765645,6.536131600005319,10758
0,303,mlp,electrical_missing,792,0.875,0.8757254668668436,0.8757254668668435,6.536131600005319,10758
0,303,mlp,vibration_gain_075,792,1.0,1.0,1.0,6.536131600005319,10758
0,303,mlp,vibration_gain_050,792,0.9810606060606061,0.9811398612861472,0.9811398612861472,6.536131600005319,10758
0,303,mlp,vibration_gain_025,792,0.8118686868686869,0.8015429995093569,0.801542999509357,6.536131600005319,10758
0,303,mlp,electrical_gain_075,792,0.43686868686868685,0.2891774891774892,0.2891774891774892,6.536131600005319,10758
0,303,mlp,electrical_gain_050,792,0.33207070707070707,0.1772943600124731,0.1772943600124731,6.536131600005319,10758
0,303,mlp,electrical_gain_025,792,0.29545454545454547,0.1631831192172003,0.1631831192172003,6.536131600005319,10758
0,303,mlp,vibration_drift_025rms,792,1.0,1.0,1.0,6.536131600005319,10758
0,303,mlp,vibration_drift_050rms,792,1.0,1.0,1.0,6.536131600005319,10758
0,303,mlp,vibration_drift_100rms,792,1.0,1.0,1.0,6.536131600005319,10758
0,303,mlp,electrical_drift_025rms,792,1.0,1.0,1.0,6.536131600005319,10758
0,303,mlp,electrical_drift_050rms,792,1.0,1.0,1.0,6.536131600005319,10758
0,303,mlp,electrical_drift_100rms,792,0.9810606060606061,0.9810486960780084,0.9810486960780084,6.536131600005319,10758
0,303,resnet,clean_reextract,792,1.0,1.0,1.0,13.30994350000401,56838
0,303,resnet,vibration_missing,792,0.5416666666666666,0.44437987438072013,0.4443798743807202,13.30994350000401,56838
0,303,resnet,electrical_missing,792,0.7904040404040404,0.7767224806318508,0.7767224806318507,13.30994350000401,56838
0,303,resnet,vibration_gain_075,792,1.0,1.0,1.0,13.30994350000401,56838
0,303,resnet,vibration_gain_050,792,0.9936868686868687,0.993684603350031,0.993684603350031,13.30994350000401,56838
0,303,resnet,vibration_gain_025,792,0.8484848484848485,0.8466471784954536,0.8466471784954537,13.30994350000401,56838
0,303,resnet,electrical_gain_075,792,0.29797979797979796,0.15129921382182032,0.15129921382182035,13.30994350000401,56838
0,303,resnet,electrical_gain_050,792,0.16792929292929293,0.051446234375705065,0.05144623437570507,13.30994350000401,56838
0,303,resnet,electrical_gain_025,792,0.16666666666666666,0.047619047619047616,0.04761904761904762,13.30994350000401,56838
0,303,resnet,vibration_drift_025rms,792,1.0,1.0,1.0,13.30994350000401,56838
0,303,resnet,vibration_drift_050rms,792,1.0,1.0,1.0,13.30994350000401,56838
0,303,resnet,vibration_drift_100rms,792,1.0,1.0,1.0,13.30994350000401,56838
0,303,resnet,electrical_drift_025rms,792,1.0,1.0,1.0,13.30994350000401,56838
0,303,resnet,electrical_drift_050rms,792,0.9987373737373737,0.9987373556209197,0.9987373556209197,13.30994350000401,56838
0,303,resnet,electrical_drift_100rms,792,0.7133838383838383,0.6695925778063812,0.6695925778063813,13.30994350000401,56838
0,303,ft_transformer,clean_reextract,792,1.0,1.0,1.0,31.477164199983235,929670
0,303,ft_transformer,vibration_missing,792,0.3333333333333333,0.16678392464858502,0.166783924648585,31.477164199983235,929670
0,303,ft_transformer,electrical_missing,792,0.7133838383838383,0.6846322857095156,0.6846322857095157,31.477164199983235,929670
0,303,ft_transformer,vibration_gain_075,792,0.9987373737373737,0.9987373556209197,0.9987373556209198,31.477164199983235,929670
0,303,ft_transformer,vibration_gain_050,792,0.7727272727272727,0.7718584291859388,0.7718584291859387,31.477164199983235,929670
0,303,ft_transformer,vibration_gain_025,792,0.4684343434343434,0.3489980057228365,0.34899800572283646,31.477164199983235,929670
0,303,ft_transformer,electrical_gain_075,792,0.16666666666666666,0.047619047619047616,0.04761904761904762,31.477164199983235,929670
0,303,ft_transformer,electrical_gain_050,792,0.16666666666666666,0.047619047619047616,0.04761904761904762,31.477164199983235,929670
0,303,ft_transformer,electrical_gain_025,792,0.16666666666666666,0.047619047619047616,0.04761904761904762,31.477164199983235,929670
0,303,ft_transformer,vibration_drift_025rms,792,1.0,1.0,1.0,31.477164199983235,929670
0,303,ft_transformer,vibration_drift_050rms,792,1.0,1.0,1.0,31.477164199983235,929670
0,303,ft_transformer,vibration_drift_100rms,792,1.0,1.0,1.0,31.477164199983235,929670
0,303,ft_transformer,electrical_drift_025rms,792,1.0,1.0,1.0,31.477164199983235,929670
0,303,ft_transformer,electrical_drift_050rms,792,0.9305555555555556,0.9274047186932849,0.927404718693285,31.477164199983235,929670
0,303,ft_transformer,electrical_drift_100rms,792,0.9343434343434344,0.9326789194836529,0.9326789194836529,31.477164199983235,929670
0,303,tabm,clean_reextract,792,1.0,1.0,1.0,10.772924199991394,806080
0,303,tabm,vibration_missing,792,0.5833333333333334,0.5403896784588297,0.5403896784588297,10.772924199991394,806080
0,303,tabm,electrical_missing,792,0.8737373737373737,0.869267040149393,0.8692670401493932,10.772924199991394,806080
0,303,tabm,vibration_gain_075,792,1.0,1.0,1.0,10.772924199991394,806080
0,303,tabm,vibration_gain_050,792,0.9823232323232324,0.9823452327992354,0.9823452327992352,10.772924199991394,806080
0,303,tabm,vibration_gain_025,792,0.8080808080808081,0.7850973201812493,0.7850973201812492,10.772924199991394,806080
0,303,tabm,electrical_gain_075,792,0.4583333333333333,0.3109709892133705,0.3109709892133705,10.772924199991394,806080
0,303,tabm,electrical_gain_050,792,0.18055555555555555,0.07383379672536299,0.073833796725363,10.772924199991394,806080
0,303,tabm,electrical_gain_025,792,0.16666666666666666,0.047619047619047616,0.04761904761904762,10.772924199991394,806080
0,303,tabm,vibration_drift_025rms,792,1.0,1.0,1.0,10.772924199991394,806080
0,303,tabm,vibration_drift_050rms,792,1.0,1.0,1.0,10.772924199991394,806080
0,303,tabm,vibration_drift_100rms,792,1.0,1.0,1.0,10.772924199991394,806080
0,303,tabm,electrical_drift_025rms,792,1.0,1.0,1.0,10.772924199991394,806080
0,303,tabm,electrical_drift_050rms,792,1.0,1.0,1.0,10.772924199991394,806080
0,303,tabm,electrical_drift_100rms,792,0.6641414141414141,0.6053777590061888,0.605377759006189,10.772924199991394,806080
0,303,tmc,clean_reextract,792,0.9191919191919192,0.9168289600866797,0.9168289600866797,21.54729089999455,15372
0,303,tmc,vibration_missing,792,0.8446969696969697,0.8385828803451217,0.8385828803451216,21.54729089999455,15372
0,303,tmc,electrical_missing,792,0.8371212121212122,0.8249279104484811,0.8249279104484812,21.54729089999455,15372
0,303,tmc,vibration_gain_075,792,0.9116161616161617,0.907402758705015,0.9074027587050149,21.54729089999455,15372
0,303,tmc,vibration_gain_050,792,0.8598484848484849,0.861087153855475,0.861087153855475,21.54729089999455,15372
0,303,tmc,vibration_gain_025,792,0.7234848484848485,0.7218088629946889,0.7218088629946889,21.54729089999455,15372
0,303,tmc,electrical_gain_075,792,0.37752525252525254,0.3174273031895615,0.31742730318956147,21.54729089999455,15372
0,303,tmc,electrical_gain_050,792,0.3648989898989899,0.30740613835545366,0.30740613835545366,21.54729089999455,15372
0,303,tmc,electrical_gain_025,792,0.35858585858585856,0.30054544278599815,0.30054544278599815,21.54729089999455,15372
0,303,tmc,vibration_drift_025rms,792,0.9166666666666666,0.9140655865835629,0.914065586583563,21.54729089999455,15372
0,303,tmc,vibration_drift_050rms,792,0.9116161616161617,0.9085895430972389,0.9085895430972388,21.54729089999455,15372
0,303,tmc,vibration_drift_100rms,792,0.8863636363636364,0.8805192192989172,0.8805192192989172,21.54729089999455,15372
0,303,tmc,electrical_drift_025rms,792,0.8623737373737373,0.8516999030654157,0.8516999030654155,21.54729089999455,15372
0,303,tmc,electrical_drift_050rms,792,0.5378787878787878,0.4987840734739768,0.49878407347397674,21.54729089999455,15372
0,303,tmc,electrical_drift_100rms,792,0.36237373737373735,0.24095208584754882,0.24095208584754882,21.54729089999455,15372
0,304,mlp,clean_reextract,792,1.0,1.0,1.0,6.504881799977738,10758
0,304,mlp,vibration_missing,792,0.45707070707070707,0.3984517638914469,0.3984517638914469,6.504881799977738,10758
0,304,mlp,electrical_missing,792,0.8952020202020202,0.8923536727238583,0.8923536727238585,6.504881799977738,10758
0,304,mlp,vibration_gain_075,792,0.9987373737373737,0.9987373556209196,0.9987373556209198,6.504881799977738,10758
0,304,mlp,vibration_gain_050,792,0.9797979797979798,0.9797235023041475,0.9797235023041474,6.504881799977738,10758
0,304,mlp,vibration_gain_025,792,0.7840909090909091,0.7628511762973043,0.7628511762973044,6.504881799977738,10758
0,304,mlp,electrical_gain_075,792,0.2765151515151515,0.148553412462908,0.148553412462908,6.504881799977738,10758
0,304,mlp,electrical_gain_050,792,0.16666666666666666,0.047619047619047616,0.04761904761904762,6.504881799977738,10758
0,304,mlp,electrical_gain_025,792,0.16666666666666666,0.047619047619047616,0.04761904761904762,6.504881799977738,10758
0,304,mlp,vibration_drift_025rms,792,1.0,1.0,1.0,6.504881799977738,10758
0,304,mlp,vibration_drift_050rms,792,1.0,1.0,1.0,6.504881799977738,10758
0,304,mlp,vibration_drift_100rms,792,1.0,1.0,1.0,6.504881799977738,10758
0,304,mlp,electrical_drift_025rms,792,0.9987373737373737,0.9987373556209197,0.9987373556209197,6.504881799977738,10758
0,304,mlp,electrical_drift_050rms,792,0.9936868686868687,0.993684603350031,0.993684603350031,6.504881799977738,10758
0,304,mlp,electrical_drift_100rms,792,0.9646464646464646,0.9643936495181976,0.9643936495181975,6.504881799977738,10758
0,304,resnet,clean_reextract,792,1.0,1.0,1.0,13.544853100000182,56838
0,304,resnet,vibration_missing,792,0.48358585858585856,0.4570273803039903,0.45702738030399037,13.544853100000182,56838
0,304,resnet,electrical_missing,792,0.9103535353535354,0.908349880488455,0.908349880488455,13.544853100000182,56838
0,304,resnet,vibration_gain_075,792,1.0,1.0,1.0,13.544853100000182,56838
0,304,resnet,vibration_gain_050,792,0.9747474747474747,0.9746411827133166,0.9746411827133166,13.544853100000182,56838
0,304,resnet,vibration_gain_025,792,0.7803030303030303,0.7582916010304498,0.7582916010304498,13.544853100000182,56838
0,304,resnet,electrical_gain_075,792,0.49242424242424243,0.32837545763594117,0.3283754576359411,13.544853100000182,56838
0,304,resnet,electrical_gain_050,792,0.3661616161616162,0.2322444286340024,0.2322444286340024,13.544853100000182,56838
0,304,resnet,electrical_gain_025,792,0.2803030303030303,0.15438957475994514,0.1543895747599451,13.544853100000182,56838
0,304,resnet,vibration_drift_025rms,792,1.0,1.0,1.0,13.544853100000182,56838
0,304,resnet,vibration_drift_050rms,792,1.0,1.0,1.0,13.544853100000182,56838
0,304,resnet,vibration_drift_100rms,792,1.0,1.0,1.0,13.544853100000182,56838
0,304,resnet,electrical_drift_025rms,792,1.0,1.0,1.0,13.544853100000182,56838
0,304,resnet,electrical_drift_050rms,792,1.0,1.0,1.0,13.544853100000182,56838
0,304,resnet,electrical_drift_100rms,792,0.9747474747474747,0.9750050925758238,0.9750050925758238,13.544853100000182,56838
0,304,ft_transformer,clean_reextract,792,1.0,1.0,1.0,31.386249000002863,929670
0,304,ft_transformer,vibration_missing,792,0.3547979797979798,0.24678210182553562,0.24678210182553562,31.386249000002863,929670
0,304,ft_transformer,electrical_missing,792,0.5404040404040404,0.43234612957605384,0.43234612957605384,31.386249000002863,929670
0,304,ft_transformer,vibration_gain_075,792,1.0,1.0,1.0,31.386249000002863,929670
