model,condition,macro_f1_mean,macro_f1_sd,accuracy_mean,weighted_f1_mean,train_time_s_mean,parameters,n_fold_seed
resnet,vibration_drift_025rms,0.999663601067703,0.0009899664878997038,0.9996632996632997,0.999663601067703,13.008820036667748,56838,30
resnet,vibration_drift_050rms,0.9997053757312171,0.0008572476246365849,0.9997053872053872,0.9997053757312171,13.008820036667748,56838,30
resnet,vibration_drift_100rms,0.9994529954915382,0.0014330837867676987,0.999452861952862,0.9994529954915382,13.008820036667748,56838,30
resnet,vibration_gain_025,0.6740835408577249,0.10239634321410511,0.7098063973063974,0.6740835408577249,13.008820036667748,56838,30
resnet,vibration_gain_050,0.9126384455704463,0.06580102429912013,0.9159511784511785,0.9126384455704463,13.008820036667748,56838,30
resnet,vibration_gain_075,0.9976132961211448,0.005473068521008676,0.9976010101010101,0.9976132961211449,13.008820036667748,56838,30
resnet,vibration_missing,0.4761573672810746,0.07448275524206502,0.5281144781144781,0.4761573672810746,13.008820036667748,56838,30
tabm,clean_reextract,0.9997895592701532,0.00047860411675837027,0.9997895622895623,0.9997895592701533,10.404079020001033,806080,30
tabm,electrical_drift_025rms,0.9997474711241839,0.0005136918429038234,0.9997474747474747,0.9997474711241839,10.404079020001033,806080,30
tabm,electrical_drift_050rms,0.9903453269411029,0.01804700265571389,0.990530303030303,0.990345326941103,10.404079020001033,806080,30
tabm,electrical_drift_100rms,0.4586213543479705,0.08765978963692483,0.5614478114478114,0.4586213543479705,10.404079020001033,806080,30
tabm,electrical_gain_025,0.1852261878923706,0.08278628984722224,0.31165824915824913,0.18522618789237064,10.404079020001033,806080,30
tabm,electrical_gain_050,0.25331702856509225,0.08084465104367736,0.3880471380471381,0.25331702856509225,10.404079020001033,806080,30
tabm,electrical_gain_075,0.4191095947213766,0.11077820899101064,0.5425505050505051,0.4191095947213766,10.404079020001033,806080,30
tabm,electrical_missing,0.7901877790991507,0.06867774899251249,0.8141414141414142,0.7901877790991507,10.404079020001033,806080,30
tabm,vibration_drift_025rms,0.9997895592701532,0.00047860411675837027,0.9997895622895623,0.9997895592701533,10.404079020001033,806080,30
tabm,vibration_drift_050rms,0.9997895592701532,0.00047860411675837027,0.9997895622895623,0.9997895592701533,10.404079020001033,806080,30
tabm,vibration_drift_100rms,0.9997053793547158,0.0006363946603526788,0.9997053872053872,0.9997053793547158,10.404079020001033,806080,30
tabm,vibration_gain_025,0.6637237513443436,0.13845806997140875,0.7079124579124579,0.6637237513443437,10.404079020001033,806080,30
tabm,vibration_gain_050,0.9380478043378527,0.07962453544064549,0.9410774410774411,0.9380478043378527,10.404079020001033,806080,30
tabm,vibration_gain_075,0.9995370303943373,0.0007020977211499383,0.999537037037037,0.9995370303943373,10.404079020001033,806080,30
tabm,vibration_missing,0.44856827589627746,0.04035631112325749,0.50256734006734,0.44856827589627746,10.404079020001033,806080,30
tmc,clean_reextract,0.9835511778149584,0.03255407106492018,0.984006734006734,0.9835511778149585,21.25103663999956,15372,30
tmc,electrical_drift_025rms,0.9627179544661729,0.05167630956812275,0.9646885521885522,0.9627179544661729,21.25103663999956,15372,30
tmc,electrical_drift_050rms,0.6787872780609219,0.0863218080023889,0.7203703703703703,0.6787872780609219,21.25103663999956,15372,30
tmc,electrical_drift_100rms,0.34522769579048884,0.05410353977917381,0.44709595959595955,0.34522769579048884,21.25103663999956,15372,30
tmc,electrical_gain_025,0.30264435809489004,0.047159422684344435,0.3822811447811448,0.30264435809489004,21.25103663999956,15372,30
tmc,electrical_gain_050,0.31280929581020855,0.048027379762598854,0.3902777777777778,0.3128092958102086,21.25103663999956,15372,30
tmc,electrical_gain_075,0.34141054602489546,0.04969838161413466,0.4140151515151515,0.34141054602489546,21.25103663999956,15372,30
tmc,electrical_missing,0.9500716779830876,0.05809253313132034,0.9522727272727273,0.9500716779830877,21.25103663999956,15372,30
tmc,vibration_drift_025rms,0.9828620579595507,0.03415002995353296,0.9833754208754208,0.9828620579595507,21.25103663999956,15372,30
tmc,vibration_drift_050rms,0.9810531677428679,0.03739886452977138,0.9817340067340067,0.9810531677428679,21.25103663999956,15372,30
tmc,vibration_drift_100rms,0.9751823518461469,0.04807705875480183,0.9764309764309764,0.975182351846147,21.25103663999956,15372,30
tmc,vibration_gain_025,0.7883290700625049,0.06704978123733372,0.8018939393939395,0.7883290700625049,21.25103663999956,15372,30
tmc,vibration_gain_050,0.9503405245472628,0.04615008802753141,0.9502525252525252,0.9503405245472628,21.25103663999956,15372,30
tmc,vibration_gain_075,0.9795841578123123,0.03659715540503894,0.9804292929292929,0.9795841578123123,21.25103663999956,15372,30
tmc,vibration_missing,0.9549578266233241,0.046017399609504836,0.9558080808080809,0.9549578266233241,21.25103663999956,15372,30
